Date,Price,Open,High,Low,Vol.,Change %
30-Dec-20,101.76,103.91,105.55,99.02,295.46K,-0.0207
31-Dec-20,99.47,101.79,102.33,96.96,192.60K,-0.0225
1-Jan-21,88.19,99.47,102.73,86.35,668.80K,-0.1134
2-Jan-21,86.92,88.13,93.75,84.89,696.64K,-0.0144
3-Jan-21,89.46,86.95,92,85.27,521.28K,0.0292
4-Jan-21,88.93,89.58,96.88,85.2,632.48K,-0.0059
5-Jan-21,89.16,88.93,90.11,85.77,341.21K,0.0026
6-Jan-21,94.29,89.14,94.74,88.05,549.24K,0.0576
7-Jan-21,98.9,94.29,108.1,93.11,537.76K,0.0489
8-Jan-21,96.25,98.99,100.84,92.21,314.15K,-0.0268
9-Jan-21,109.93,96.29,111.19,94.2,365.98K,0.1421
10-Jan-21,147.03,109.93,158.05,109.93,2.84M,0.3375
11-Jan-21,125.37,146.93,147.81,106.42,2.05M,-0.1473
12-Jan-21,128.53,125.18,135.38,116.47,1.09M,0.0252
13-Jan-21,133.09,128.55,137.42,120.22,648.02K,0.0355
14-Jan-21,132.95,133.04,137.72,129.19,431.10K,-0.0011
15-Jan-21,124.5,132.95,136.51,117.27,408.06K,-0.0636
16-Jan-21,125,124.45,132.26,121.45,328.56K,0.0040
17-Jan-21,124.27,125,126.96,120.23,254.41K,-0.0058
18-Jan-21,129.3,124.27,132.21,121.15,306.16K,0.0405
19-Jan-21,124.59,129.3,134.31,124.09,357.78K,-0.0364
20-Jan-21,121.16,124.59,127.05,112.18,621.32K,-0.0275
21-Jan-21,99.88,121.17,121.89,99.77,755.38K,-0.1756
22-Jan-21,104.78,99.86,108.2,94.21,811.27K,0.0491
23-Jan-21,105.29,104.78,109.82,102.32,356.34K,0.0049
24-Jan-21,106.13,105.27,110.79,103.72,327.21K,0.0080
25-Jan-21,104.96,106.13,113.03,104.94,367.81K,-0.0110
26-Jan-21,104.93,104.96,106.22,101.12,157.06K,-0.0003
27-Jan-21,96.64,104.9,104.93,94.33,185.66K,-0.0790
28-Jan-21,102.79,96.53,105.52,94.81,196.57K,0.0636
29-Jan-21,104.55,102.79,110.16,101.12,450.67K,0.0172
30-Jan-21,105.16,104.55,106.12,100.58,223.30K,0.0059
31-Jan-21,102.48,105.17,106.22,100.22,201.44K,-0.0255
1-Feb-21,103.61,102.46,105.64,100.19,289.78K,0.0110
2-Feb-21,109.83,103.54,110.82,103.32,305.74K,0.0601
3-Feb-21,116.78,109.84,118.44,109.84,469.20K,0.0632
4-Feb-21,111.04,116.79,118.48,110.57,309.27K,-0.0491
5-Feb-21,120.37,111.04,122.35,110.49,442.40K,0.0840
6-Feb-21,118.97,120.35,122.89,115.63,384.02K,-0.0116
7-Feb-21,118.33,118.94,121.86,112.42,339.68K,-0.0053
8-Feb-21,126.29,118.33,126.49,114.82,357.24K,0.0672
9-Feb-21,137.44,126.21,137.89,124.22,467.07K,0.0883
10-Feb-21,139.68,137.28,148.69,129.05,697.92K,0.0163
11-Feb-21,164.53,139.7,167.7,138.34,936.05K,0.1779
12-Feb-21,169.81,164.53,173.43,156.37,606.92K,0.0321
13-Feb-21,267.77,169.83,296.33,169.83,2.79M,0.5769
14-Feb-21,231,267.65,277.91,223.11,1.05M,-0.1373
15-Feb-21,259.27,230.72,289.22,197.14,2.06M,0.1224
16-Feb-21,249.76,259.54,272.21,242.97,810.32K,-0.0367
17-Feb-21,265.76,249.68,270.6,235.46,656.96K,0.0641
18-Feb-21,281.16,265.98,303.24,258.53,1.01M,0.0579
19-Feb-21,323.95,281.32,336.17,269.99,1.19M,0.1522
20-Feb-21,297.59,324.02,332.17,282.09,727.04K,-0.0814
21-Feb-21,301.56,297.57,316.7,290.58,499.84K,0.0133
22-Feb-21,271.57,301.56,303.05,228.18,932.47K,-0.0994
23-Feb-21,231.75,271.44,272.87,200.89,1.17M,-0.1467
24-Feb-21,237.57,231.54,262.7,218.62,865.68K,0.0251
25-Feb-21,218.12,237.37,248.54,217.22,539.93K,-0.0819
26-Feb-21,206.66,218.42,223.41,202.18,483.71K,-0.0526
27-Feb-21,210.55,206.58,224.09,205.56,349.08K,0.0189
28-Feb-21,196.65,210.6,211.86,181.8,417.67K,-0.0660
1-Mar-21,224.21,196.71,224.21,196.01,385.42K,0.1401
2-Mar-21,215.89,224.87,230.02,209.58,409.16K,-0.0371
3-Mar-21,222.51,215.93,235.57,214.07,360.30K,0.0306
4-Mar-21,211.1,222.53,229.82,206.35,354.05K,-0.0513
5-Mar-21,205.72,211.12,211.48,196.25,316.21K,-0.0255
6-Mar-21,208.74,205.72,210.59,200.63,159.04K,0.0147
7-Mar-21,214.78,208.75,214.85,206.63,170.07K,0.0290
8-Mar-21,218.25,214.83,218.94,206.53,202.58K,0.0161
9-Mar-21,244.13,218.18,245.63,214.79,692.94K,0.1186
10-Mar-21,234.32,244.12,249.87,226.18,652.65K,-0.0402
11-Mar-21,235.26,234.33,244.07,225.42,519.50K,0.0040
12-Mar-21,224.79,235.33,239.33,215.39,505.51K,-0.0445
13-Mar-21,243.55,224.8,245.05,217.4,518.24K,0.0835
14-Mar-21,231.82,243.46,249.92,231.82,319.10K,-0.0481
15-Mar-21,221,231.87,240.12,218.44,473.24K,-0.0467
16-Mar-21,223.65,221.07,224.93,211.1,352.57K,0.0120
17-Mar-21,229.33,223.65,230.97,217.01,350.94K,0.0254
18-Mar-21,225.84,229.36,237.39,222.51,400.71K,-0.0152
19-Mar-21,225.66,225.85,231.25,219.65,234.55K,-0.0008
20-Mar-21,227.26,225.66,236.49,224.35,301.22K,0.0071
21-Mar-21,221.03,227.32,230.41,219.41,246.74K,-0.0274
22-Mar-21,206.54,221.01,222.6,205.55,360.39K,-0.0655
23-Mar-21,206.82,206.58,212.78,202.87,205.59K,0.0014
24-Mar-21,191.1,206.82,214.15,187.76,377.42K,-0.0760
25-Mar-21,189.11,190.98,195.78,182.47,433.87K,-0.0104
26-Mar-21,203.62,189.1,203.83,188.31,267.16K,0.0767
27-Mar-21,201.57,203.6,204.79,193.03,303.13K,-0.0101
28-Mar-21,207.78,201.56,207.78,196.06,272.98K,0.0308
29-Mar-21,214.92,207.74,217.62,203.8,464.46K,0.0344
30-Mar-21,216.24,214.9,219.9,210.32,395.84K,0.0061
31-Mar-21,222.46,216.3,225.66,205.52,479.78K,0.0288
1-Apr-21,233.43,222.44,236.92,220.78,689.81K,0.0493
2-Apr-21,244,233.53,250.22,229.22,491.88K,0.0453
3-Apr-21,222.93,244,249.65,221.92,518.15K,-0.0863
4-Apr-21,270.11,222.95,276.25,221.03,1.28M,0.2116
5-Apr-21,273.52,270.25,278.57,253.51,821.49K,0.0126
6-Apr-21,275.46,273.56,282.7,256.91,836.88K,0.0071
7-Apr-21,253.07,275.75,293.32,244.83,1.31M,-0.0813
8-Apr-21,267.57,253.08,269.58,251.21,478.34K,0.0573
9-Apr-21,264.59,267.81,273.89,261.51,370.68K,-0.0111
10-Apr-21,283.23,264.61,286.43,263.26,552.85K,0.0705
11-Apr-21,286.65,283.5,294.66,278.64,526.08K,0.0121
12-Apr-21,280.47,286.71,298.16,272.11,523.71K,-0.0216
13-Apr-21,293.59,280.45,300.73,277.26,596.08K,0.0468
14-Apr-21,305.38,293.73,318.42,284.91,1.01M,0.0402
15-Apr-21,327.32,305.34,329.78,298.36,645.59K,0.0719
16-Apr-21,378.98,326.99,394.95,319.18,1.68M,0.1578
17-Apr-21,355.87,378.92,411.41,353.77,443.69K,-0.0610
18-Apr-21,317,356.07,360.46,258.11,1.78M,-0.1092
19-Apr-21,293.41,316.98,326.23,278.28,1.05M,-0.0744
20-Apr-21,317.73,293.78,329.63,275.3,1.30M,0.0829
21-Apr-21,295.3,317.64,328.06,292.48,755.75K,-0.0706
22-Apr-21,276.31,295.33,313.62,274.86,843.37K,-0.0643
23-Apr-21,262.51,276.07,281.99,233.13,1.16M,-0.0499
24-Apr-21,246.29,262.47,262.84,239.49,245.48K,-0.0618
25-Apr-21,246.6,246.22,268.98,233.82,693.79K,0.0012
26-Apr-21,278.72,246.79,280.78,244.37,288.93K,0.1303
27-Apr-21,292.88,278.7,292.88,274.71,524.09K,0.0508
28-Apr-21,289.11,292.96,298.69,276.03,529.37K,-0.0129
29-Apr-21,286.68,288.81,289.65,274.15,387.73K,-0.0084
30-Apr-21,319.07,286.67,330.28,282.39,708.40K,0.1130
1-May-21,321.95,319.56,328.36,308.83,420.85K,0.0090
2-May-21,315,321.93,324.05,303.79,333.84K,-0.0216
3-May-21,341.87,315.03,343.08,314.85,714.70K,0.0853
4-May-21,363.8,342.16,379.92,316.39,1.57M,0.0642
5-May-21,395.78,364.04,419.49,364.04,1.11M,0.0879
6-May-21,443.64,395.79,453.64,373.67,1.55M,0.1209
7-May-21,404.88,443.47,475.74,392.63,1.39M,-0.0874
8-May-21,409.46,404.43,427.76,392.72,630.72K,0.0113
9-May-21,406.17,409.43,409.77,375.43,666.24K,-0.0080
10-May-21,371.36,406.53,430.16,359.46,854.81K,-0.0857
11-May-21,426.59,371.41,433.04,360.98,805.36K,0.1487
12-May-21,356.82,426.67,438.8,355.59,1.03M,-0.1636
13-May-21,357.41,357.79,383.98,338.2,938.42K,0.0017
14-May-21,371.33,357.4,385.56,354.96,418.70K,0.0389
15-May-21,335.9,371.33,374.62,334.23,536.29K,-0.0954
16-May-21,331.3,335.98,366.81,311.97,591.54K,-0.0137
17-May-21,294.71,331.31,331.69,281.94,965.25K,-0.1104
18-May-21,304.8,294.74,317.98,291.01,584.96K,0.0342
19-May-21,189.72,304.8,309.84,141.64,2.10M,-0.3776
20-May-21,227.2,189.73,237.68,166.66,1.33M,0.1975
21-May-21,188.76,226.8,235.37,165.93,1.04M,-0.1692
22-May-21,178.13,188.59,193.96,169.87,869.67K,-0.0563
23-May-21,150.87,178.12,183.87,123.13,520.34K,-0.1530
24-May-21,200.74,150.29,200.93,146.79,1.00M,0.3305
25-May-21,195.04,200.77,215.28,178.61,1.07M,-0.0283
26-May-21,213.87,195.03,221.32,191.89,833.59K,0.0965
27-May-21,203.56,213.87,214.89,191.82,574.68K,-0.0482
28-May-21,183.25,204.32,206.21,171.56,838.63K,-0.0998
29-May-21,176.71,183.21,209.91,170.76,999.97K,-0.0357
30-May-21,182,176.71,190.29,165.87,542.12K,0.0299
31-May-21,197.79,181.97,198.47,173.04,483.79K,0.0868
1-Jun-21,191.52,197.83,201.24,184.61,427.41K,-0.0317
2-Jun-21,202.35,191.52,209,187.01,492.96K,0.0566
3-Jun-21,210.22,202.39,215.77,198.48,464.94K,0.0389
4-Jun-21,191.49,210.24,210.31,180.72,531.39K,-0.0891
5-Jun-21,185.2,191.38,198.36,179.33,362.45K,-0.0328
6-Jun-21,185.44,185.22,193.16,182.17,284.27K,0.0013
7-Jun-21,171.91,185.39,193.31,170.2,346.92K,-0.0730
8-Jun-21,166.32,172.04,174.89,153.27,534.78K,-0.0325
9-Jun-21,176.6,166.27,177.53,158.22,500.55K,0.0618
10-Jun-21,169.83,176.69,179.6,164.93,277.43K,-0.0383
11-Jun-21,165.68,169.72,173.99,163.57,286.52K,-0.0245
12-Jun-21,163.46,165.73,165.81,154.44,281.82K,-0.0134
13-Jun-21,172.75,163.52,172.93,157.25,284.60K,0.0568
14-Jun-21,177.81,172.75,177.86,167.95,309.22K,0.0293
15-Jun-21,172.14,177.85,179.11,169.85,242.19K,-0.0319
16-Jun-21,164.38,172.09,174.88,163.45,292.49K,-0.0451
17-Jun-21,163.7,164.41,173.93,160.71,280.73K,-0.0042
18-Jun-21,154.71,163.85,164.77,151.01,67.24K,-0.0549
19-Jun-21,151.74,154.61,160.63,151.22,90.27K,-0.0192
20-Jun-21,153.23,151.08,155.33,141.46,301.14K,0.0098
21-Jun-21,123.36,153.24,154.15,122.88,604.50K,-0.1949
22-Jun-21,119.16,123.25,131.21,102.13,935.45K,-0.0340
23-Jun-21,127.49,119.22,131.47,114.14,463.99K,0.0699
24-Jun-21,131.23,127.44,134.57,120.58,350.44K,0.0293
25-Jun-21,120.45,131.35,134.35,119.17,370.25K,-0.0821
26-Jun-21,124.29,120.49,126.13,115.29,457.13K,0.0319
27-Jun-21,127.1,124.32,127.34,118.32,353.37K,0.0226
28-Jun-21,132.03,127.06,134.05,124.76,315.41K,0.0387
29-Jun-21,140.08,132.06,147.93,130.52,419.20K,0.0610
30-Jun-21,145.29,140.11,146.5,134.46,403.10K,0.0372
1-Jul-21,138.29,145.37,145.65,133.1,276.69K,-0.0482
2-Jul-21,135.51,138.23,140.49,129.62,224.38K,-0.0201
3-Jul-21,139.46,135.55,140.11,132.34,161.11K,0.0292
4-Jul-21,140.31,139.46,143.46,138.22,195.70K,0.0061
5-Jul-21,132.56,140.3,140.3,130.24,200.77K,-0.0552
6-Jul-21,134.92,132.5,138.58,131.91,190.22K,0.0178
7-Jul-21,134.92,134.93,139.26,133.53,201.00K,0.0000
8-Jul-21,126.63,135.08,135.08,124.47,247.20K,-0.0614
9-Jul-21,128.34,126.63,130.28,121.27,197.18K,0.0135
10-Jul-21,128.44,128.34,131.09,125.33,189.60K,0.0008
11-Jul-21,128.32,128.45,130.86,125.27,173.88K,-0.0009
12-Jul-21,126.83,128.33,135.01,125.25,311.05K,-0.0116
13-Jul-21,123.87,126.84,127.69,121.88,180.50K,-0.0233
14-Jul-21,123.17,123.89,124.73,115.92,228.03K,-0.0056
15-Jul-21,122.65,123.16,124.96,116.47,214.91K,-0.0043
16-Jul-21,114.86,122.64,124.19,114.64,97.68K,-0.0634
17-Jul-21,116.02,114.83,118.89,113.35,185.85K,0.0101
18-Jul-21,115.79,116.02,121.94,114.83,176.21K,-0.0020
19-Jul-21,137.64,115.78,175.29,109.59,2.42M,0.1887
20-Jul-21,125.44,137.94,146.67,115.37,1.82M,-0.0886
21-Jul-21,138.83,125.39,151.33,124.45,1.18M,0.1067
22-Jul-21,142.22,138.86,146.21,135.43,600.44K,0.0245
23-Jul-21,142.76,142.2,145.37,135.35,313.10K,0.0038
24-Jul-21,143.55,142.76,148.97,140.97,431.06K,0.0055
25-Jul-21,139.85,139.79,142.49,136.58,290.22K,-0.0258
26-Jul-21,142.25,139.81,156.82,138.89,651.81K,0.0172
27-Jul-21,146.15,142.22,147.6,137.63,372.28K,0.0274
28-Jul-21,152.71,146.05,156.58,143.05,489.08K,0.0449
29-Jul-21,164.93,152.64,164.99,147.97,212.26K,0.0800
30-Jul-21,165.23,164.72,167.25,153.62,381.16K,0.0018
31-Jul-21,163.6,165.31,168.05,159.77,217.84K,-0.0099
1-Aug-21,160.29,163.75,173.17,159.74,325.71K,-0.0203
2-Aug-21,161.77,160.22,164.28,156.12,230.74K,0.0092
3-Aug-21,156.37,161.69,163.9,153.38,201.73K,-0.0334
4-Aug-21,161.39,156.4,163.82,151.17,138.81K,0.0321
5-Aug-21,164.44,161.34,165.2,155.2,223.62K,0.0189
6-Aug-21,166.79,164.44,168.27,160.34,168.82K,0.0143
7-Aug-21,170.44,166.73,173.5,164.63,427.59K,0.0219
8-Aug-21,161.62,170.36,172.29,159.52,295.76K,-0.0517
9-Aug-21,179.2,161.65,181,156.8,424.16K,0.1087
10-Aug-21,175.84,179.21,180.06,169.42,312.75K,-0.0187
11-Aug-21,181.7,175.84,187.92,175.74,354.36K,0.0334
12-Aug-21,180.07,181.63,190.46,170.43,380.04K,-0.0090
13-Aug-21,203.17,180.21,203.17,177.92,381.65K,0.1283
14-Aug-21,199.02,203.41,203.59,190.46,391.57K,-0.0204
15-Aug-21,215.91,199.01,217.27,191.54,380.02K,0.0849
16-Aug-21,201.39,215.8,216.63,199.27,335.91K,-0.0673
17-Aug-21,194.67,201.2,211.37,186.43,505.19K,-0.0333
18-Aug-21,209.85,194.7,213.61,186.24,513.53K,0.0780
19-Aug-21,220.2,209.79,220.83,199.12,429.78K,0.0493
20-Aug-21,232.77,220.1,235.25,218.33,442.73K,0.0571
21-Aug-21,237.24,232.78,248.63,226.93,487.27K,0.0192
22-Aug-21,255.12,237.25,257,230.62,450.96K,0.0753
23-Aug-21,270.42,255.21,284.62,254.82,822.54K,0.0600
24-Aug-21,248.63,270.39,273.98,246.48,412.82K,-0.0806
25-Aug-21,264.49,248.59,264.49,239.31,345.63K,0.0638
26-Aug-21,231.92,264.41,264.67,230.57,294.10K,-0.1232
27-Aug-21,242.27,231.9,243.47,222.33,382.59K,0.0446
28-Aug-21,236.31,242.29,243.03,234.51,184.78K,-0.0246
29-Aug-21,225.29,236.34,247.09,225.14,314.36K,-0.0466
30-Aug-21,216.41,225.31,230.46,215.36,319.54K,-0.0394
31-Aug-21,223.94,216.43,228.94,212.66,271.70K,0.0348
1-Sep-21,238.77,223.85,240.25,216.15,310.30K,0.0662
2-Sep-21,238.98,238.77,245.83,235.54,271.10K,0.0009
3-Sep-21,247.27,238.98,251.3,233.08,297.56K,0.0347
4-Sep-21,251.67,247.38,256.36,245.27,257.93K,0.0178
5-Sep-21,263.87,251.7,268.61,248.29,342.12K,0.0485
6-Sep-21,255.62,264.09,265.47,250.34,323.17K,-0.0312
7-Sep-21,206.6,255.72,256.4,185.55,347.83K,-0.1918
8-Sep-21,201.68,206.55,211.86,184.55,677.02K,-0.0238
9-Sep-21,202.49,201.71,207.66,195.15,416.18K,0.0040
10-Sep-21,192.97,202.46,214.82,187.55,457.74K,-0.0470
11-Sep-21,194.04,192.99,203.72,191.68,260.70K,0.0056
12-Sep-21,203.92,194.04,206.25,189.21,241.95K,0.0509
13-Sep-21,196.61,203.81,213.8,186.84,462.31K,-0.0358
14-Sep-21,205.67,196.61,205.67,194.87,218.88K,0.0461
15-Sep-21,208.79,205.66,209.7,202.68,199.93K,0.0152
16-Sep-21,208.26,208.81,219.53,203.1,384.05K,-0.0025
17-Sep-21,198.69,208.21,209.38,195.4,127.28K,-0.0459
18-Sep-21,199.46,198.7,205.51,195.26,183.51K,0.0038
19-Sep-21,192.87,199.44,201.21,190.49,182.41K,-0.0330
20-Sep-21,169.01,192.95,193.34,167.87,1.30K,-0.1237
21-Sep-21,156.89,169.01,176.91,155.11,461.72K,-0.0717
22-Sep-21,175.53,157.01,176.23,154.22,242.40K,0.1189
23-Sep-21,184.7,175.48,184.78,171.63,376.29K,0.0522
24-Sep-21,165.48,184.64,185,156.83,520.05K,-0.1041
25-Sep-21,164.43,165.49,171.33,159.57,281.48K,-0.0063
26-Sep-21,162,164.4,165.03,150.65,135.01K,-0.0148
27-Sep-21,153.67,162.04,167.32,153.56,268.53K,-0.0514
28-Sep-21,147.25,153.67,158.4,146.32,319.89K,-0.0418
29-Sep-21,152.73,147.31,160.72,146.53,317.52K,0.0372
30-Sep-21,166.05,152.73,169.79,151.94,261.95K,0.0872
1-Oct-21,176.8,166.07,177.05,163.39,369.80K,0.0648
2-Oct-21,177.64,176.79,182.92,171.83,239.80K,0.0047
3-Oct-21,177.86,177.64,181.86,173.71,280.94K,0.0013
4-Oct-21,174.23,177.96,179.8,168.08,318.97K,-0.0205
5-Oct-21,182.66,174.08,184.68,171.84,284.26K,0.0484
6-Oct-21,185.06,182.64,190.39,170.8,509.45K,0.0131
7-Oct-21,188.79,185.01,197.89,179.93,551.21K,0.0202
8-Oct-21,189.25,188.82,197.93,186.59,320.06K,0.0025
9-Oct-21,193.33,189.47,194.31,186.63,225.17K,0.0216
10-Oct-21,182.22,193.52,195.42,181.48,214.81K,-0.0575
11-Oct-21,182.94,182.18,191,178.24,248.16K,0.0039
12-Oct-21,180.6,182.93,182.94,170.5,338.91K,-0.0128
13-Oct-21,183.31,180.7,183.81,173.59,347.14K,0.0150
14-Oct-21,186.63,183.27,189.58,182.44,227.02K,0.0181
15-Oct-21,194.09,186.67,194.84,181.76,311.23K,0.0400
16-Oct-21,190.06,194.04,198.32,189.82,254.37K,-0.0208
17-Oct-21,186.13,190.19,192.64,179.15,207.90K,-0.0207
18-Oct-21,186.85,186.14,190.54,180.61,239.80K,0.0039
19-Oct-21,194.08,186.85,194.38,186.17,282.80K,0.0387
20-Oct-21,201.53,194.07,205.36,189.48,330.03K,0.0384
21-Oct-21,196.53,201.57,207.96,193.47,392.46K,-0.0248
22-Oct-21,195.37,196.65,203.24,192.95,260.39K,-0.0059
23-Oct-21,197.72,195.36,198.71,191.55,180.06K,0.0120
24-Oct-21,202.71,197.75,213.98,196.89,664.63K,0.0253
25-Oct-21,208.6,202.67,209.73,201.39,287.43K,0.0291
26-Oct-21,198.56,208.56,208.62,195.44,245.96K,-0.0482
27-Oct-21,174.43,198.55,202.01,170.71,547.79K,-0.1215
28-Oct-21,182.96,174.72,186.37,173.31,408.59K,0.0489
29-Oct-21,187.75,183.26,188.95,181.86,237.45K,0.0262
30-Oct-21,183.9,187.77,189.38,179.74,250.35K,-0.0205
31-Oct-21,192.59,183.95,199.54,183.36,428.95K,0.0473
1-Nov-21,189.4,192.62,194.68,184.19,256.65K,-0.0166
2-Nov-21,199.85,189.4,202.73,187.55,280.06K,0.0551
3-Nov-21,201.25,199.93,204.64,193.19,388.69K,0.0070
4-Nov-21,199.03,201.21,204.44,193.67,281.48K,-0.0111
5-Nov-21,194.45,198.81,199.81,191.64,172.42K,-0.0230
6-Nov-21,191.04,194.29,197.6,185.29,185.14K,-0.0176
7-Nov-21,193.87,191.03,193.87,189.68,112.01K,0.0148
8-Nov-21,211.81,193.85,212.95,193.37,434.74K,0.0926
9-Nov-21,234.29,211.82,238.68,211.11,968.32K,0.1061
10-Nov-21,217.69,234.2,247.56,208.42,799.12K,-0.0709
11-Nov-21,232.23,217.47,234.99,213.36,469.33K,0.0668
12-Nov-21,221.07,232.35,235.74,212.15,386.40K,-0.0480
13-Nov-21,228.66,221.07,230.71,217.24,300.83K,0.0343
14-Nov-21,228.8,228.74,231.73,219.86,194.91K,0.0006
15-Nov-21,224.4,228.74,240.16,223.8,272.66K,-0.0192
16-Nov-21,198.5,224.4,224.4,188.9,534.30K,-0.1154
17-Nov-21,189.31,198.48,200.42,184.58,479.05K,-0.0463
18-Nov-21,175.58,189.29,190.7,170.02,520.77K,-0.0725
19-Nov-21,189.09,175.64,189.29,173.97,331.64K,0.0770
20-Nov-21,193.5,189,197.97,186.2,321.86K,0.0233
21-Nov-21,207.26,193.5,207.8,187.28,369.73K,0.0711
22-Nov-21,197.08,207.03,208.79,188.43,536.87K,-0.0491
23-Nov-21,187.34,197.09,200.43,184.56,375.84K,-0.0494
24-Nov-21,203.37,187.34,203.96,184.4,833.92K,0.0855
25-Nov-21,213.13,203.33,214.15,201.17,463.96K,0.0480
26-Nov-21,182.77,213.06,213.94,179.31,527.04K,-0.1425
27-Nov-21,182.81,183.06,189.7,180.61,215.61K,0.0002
28-Nov-21,178.92,182.65,182.86,164.19,414.55K,-0.0213
29-Nov-21,181.86,178.74,184.38,175.99,249.20K,0.0164
30-Nov-21,179.37,181.91,186.04,174.66,304.68K,-0.0137
1-Dec-21,178.4,179.43,185.42,176.68,202.11K,-0.0054
2-Dec-21,176.04,178.32,178.32,172.32,165.03K,-0.0132
3-Dec-21,167.45,176.04,180.14,160.23,264.04K,-0.0488
4-Dec-21,142.38,167.31,167.48,111.17,907.34K,-0.1497
5-Dec-21,134.59,142.38,144.88,126.67,411.84K,-0.0547
6-Dec-21,138.01,134.54,139.86,122.05,475.16K,0.0254
7-Dec-21,138.87,137.94,144.05,135.71,363.24K,0.0062